# function|file|max_complexity
# Reviewed ceilings after integrating upstream v0.27.0; reductions remain valid.
(*App).ProcessDocumentOCR|ocr.go|120
(*PaperlessClient).UpdateDocuments|paperless.go|86
validateOrDefaultEnvVars|main.go|81
main|main.go|44
(*App).processAutoOcrTagDocuments|background.go|40
(*PaperlessClient).DownloadDocumentAsPDF|paperless.go|33
(*PaperlessClient).DownloadDocumentAsImages|paperless.go|31
createLLM|main.go|29
(*App).uploadProcessedPDF|ocr.go|27
(*App).generateSingleDocumentSuggestion|app_llm.go|26
(*LLMProvider).ProcessImage|ocr/llm_provider.go|23
(*GoogleAIProvider).GenerateContent|ocr/google_ai_client.go|23
(*App).submitOCRJobHandler|app_http_handlers.go|23
NewProvider|ocr/provider.go|22
createVisionLLM|main.go|22
(*TongyiProvider).GenerateText|app_llm_tongyi.go|22
(*DoclingProvider).ProcessImage|ocr/docling_provider.go|20
(*PaperlessClient).GetDocumentPageImage|paperless_search.go|20
(*App).getSuggestedCustomFields|app_llm.go|20
(*PaperlessClient).GetDocument|paperless.go|18
(*PaperlessClient).UploadDocument|paperless.go|17
(*PaperlessClient).GetDocumentsByTag|paperless.go|16
loadTemplates|main.go|16
(*App).updateOCRDefaultsHandler|app_http_handlers.go|16
